Query,Language,Intent,Response,Symptom,Condition,Recommendation (Condition),Age,Gender,Health Condition
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ සෙරීස් භාවිතා කරන්න.,Fatigue,stress,Practice mindfulness techniques and maintain consistent sleep schedules.,30.0,Male,general
What foods are good for heart health?,English,food_advice,"Foods like salmon, nuts, oats, and leafy greens are excellent for improving heart health.",Chest discomfort,heart_disease,"Avoid fried and processed foods, and include omega-3-rich foods in meals.",55.0,Male,general
මට අධි පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි පීඩනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and avoid salty snacks.,50.0,Male,hypertension
How can I manage both stress and hypertension?,English,recommendation_for_both,Practice relaxation techniques like yoga and ensure a balanced diet with low sodium.,Fatigue,stress_+_hypertension,Avoid caffeine and maintain a consistent sleep routine to lower stress levels.,40.0,Female,both
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ පෝෂණදායී ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on fiber-rich foods, whole grains, and avoid sugary drinks.",50.0,Male,diabetes
What are healthy snacks for managing diabetes?,English,food_advice_for_diabetes,"Snacks like unsweetened yogurt, nuts, and boiled eggs are good for blood sugar control.",Frequent urination,diabetes,"Avoid sugary snacks and opt for high-protein, low-glycemic options.",35.0,Female,diabetes
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට හුස්ම වැඩි ක්‍රම සහ ධ්‍යානය භාවිතා කරන්න.,Fatigue,stress,Maintain consistent sleep patterns and avoid stimulants like caffeine.,30.0,Male,general
How can I prevent dehydration during workouts?,English,recommendation,"Drink water before, during, and after exercise, and avoid caffeinated beverages.",Fatigue,dehydration,Include electrolytes in your drinks to maintain hydration during intense workouts.,45.0,Female,general
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර, නිතර පීඩන මනෝමිටර් භාවිතා කිරීම සහ මෘදු ව්‍යායාම වඩාත් ගැලපේ.",Headache,hypertension,Avoid salty processed foods and focus on potassium-rich fruits and vegetables.,50.0,Male,hypertension
What are the symptoms of low blood sugar?,English,diagnosis_inquiry_for_diabetes,"Symptoms include dizziness, sweating, shaking, and confusion.",Dizziness,hypoglycemia,Eat a fast-acting carbohydrate like fruit juice or glucose tablets immediately.,40.0,Female,diabetes
How can I prevent diabetes complications?,English,recommendation_for_diabetes,"Regularly monitor blood sugar levels, maintain a healthy diet, and stay physically active.",Frequent urination,diabetes,Consult your doctor for periodic check-ups and follow a balanced meal plan.,45.0,Female,diabetes
මට අධි රුධිර පීඩනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර, මෘදු ව්‍යායාම, සහ මනෝවිද්‍යා ආතතිය අඩු කිරීමේ ක්‍රම භාවිතා කරන්න.",Headache,hypertension,Include potassium-rich foods like bananas and leafy greens in your diet.,55.0,Male,hypertension
What are the symptoms of poorly controlled blood pressure?,English,diagnosis_inquiry_for_hypertension,"Symptoms include severe headaches, dizziness, chest pain, and shortness of breath.",Chest pain,hypertension,Regularly check your blood pressure and reduce salt intake.,50.0,Female,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ පෝෂණදායී ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,"Focus on fiber-rich foods, lean proteins, and whole grains.",40.0,Male,diabetes
How does stress affect diabetes?,English,information_request_for_both,"Stress can increase cortisol levels, which may raise blood sugar levels and make diabetes harder to manage.",Fatigue,stress_+_diabetes,Practice mindfulness techniques and monitor your blood sugar regularly.,35.0,Female,both
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මනෝපදේශ ක්‍රම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ හුස්ම වැඩි ක්‍රියාවන් භාවිතා කරන්න.,Fatigue,stress,Maintain a consistent sleep schedule and avoid caffeine and alcohol.,30.0,Male,general
What foods are good for diabetes management?,English,food_advice_for_diabetes,"Include foods like broccoli, almonds, oats, and lean proteins to manage blood sugar effectively.",Frequent urination,diabetes,Avoid sugary drinks and high-carb snacks; focus on low-glycemic options.,50.0,Male,diabetes
මට අධි පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි පීඩනය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර භාවිතා කරන්න.,Headache,hypertension,"Include magnesium-rich foods like nuts and seeds, and reduce salt consumption.",45.0,Female,hypertension
How can I improve heart health with exercise?,English,recommendation,"Engage in aerobic activities like walking, cycling, or swimming for 30 minutes a day to strengthen your heart.",Chest discomfort,heart_disease,Avoid sedentary habits and maintain a balanced diet with omega-3 fatty acids.,55.0,Male,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු ආහාර සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Plan balanced meals with vegetables, whole grains, and avoid sugary snacks.",40.0,Female,diabetes
What are healthy snacks for hypertension?,English,food_advice_for_hypertension,"Unsalted nuts, raw vegetables, and low-fat yogurt are excellent options for managing hypertension.",Headache,hypertension,Avoid salty and processed snacks and include potassium-rich foods in your diet.,35.0,Male,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට සෙරීස් සහ ධ්‍යානය වඩාත් ප්‍රයෝජනවත් වේ.,Fatigue,stress,Practice mindfulness techniques regularly and ensure sufficient sleep.,30.0,Female,general
How can I manage both diabetes and hypertension?,English,recommendation_for_both,"Follow a balanced diet, reduce both salt and sugar intake, and monitor your blood sugar and pressure regularly.",Fatigue,both,Avoid processed foods and engage in moderate physical activity daily.,50.0,Male,both
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ පෝෂණදායී ශාක ආහාර සහ ඔට්ස් වැනි ආහාර භාවිතා කරන්න.,Chest discomfort,heart_disease,Avoid fried foods and focus on natural sources of omega-3 fatty acids.,55.0,Male,general
What are the symptoms of dehydration?,English,diagnosis_inquiry,"Symptoms include dry mouth, fatigue, dark-colored urine, and dizziness.",Fatigue,dehydration,Stay hydrated by drinking 8-10 glasses of water daily and include electrolyte-rich drinks.,40.0,Female,general
How can I lower my blood sugar naturally?,English,recommendation_for_diabetes,"Maintain a balanced diet, exercise regularly, and monitor blood sugar levels daily.",Frequent urination,diabetes,Avoid high-sugar snacks and include whole grains and vegetables in meals.,50.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ ආහාර සහ පෝෂණදායී ශාක ආහාර භාවිතා කරන්න.,Headache,hypertension,Monitor blood pressure regularly and reduce sodium intake.,55.0,Female,hypertension
What are the signs of prediabetes?,English,diagnosis_inquiry_for_diabetes,"Symptoms include increased thirst, frequent urination, and blurred vision.",Blurred vision,diabetes,Consult a doctor for a glucose tolerance test if symptoms persist.,45.0,Female,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාගන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු ආහාර සහ පෝෂණදායී ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Include high-fiber vegetables and lean proteins in meals.,40.0,Male,diabetes
How can I reduce stress during exams?,English,recommendation,"Practice time management, take short breaks, and engage in deep breathing exercises.",Fatigue,stress,Avoid caffeine and prioritize a healthy sleep routine during exam preparation.,35.0,Male,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට මෘදු යෝගා සහ ධ්‍යානය භාවිතා කරන්න.,Fatigue,stress,Practice mindfulness techniques and maintain a consistent daily routine.,30.0,Female,general
What foods help manage cholesterol levels?,English,food_advice,"Include oats, nuts, olive oil, and fatty fish to naturally lower cholesterol.",,high_cholesterol,Avoid trans fats and include foods rich in soluble fiber.,50.0,Male,general
මට අධි රුධිර පීඩනය සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_hypertension,අධි රුධිර පීඩනය සඳහා අඩු ලවණ සහ පෝෂණදායී ශාක ආහාර භාවිතා කරන්න.,Headache,hypertension,Include foods rich in magnesium and potassium like spinach and bananas.,45.0,Female,hypertension
How does hydration impact heart health?,English,information_request,Proper hydration helps maintain healthy blood circulation and reduces strain on the heart.,Fatigue,general,Drink at least 8 glasses of water daily and avoid sugary drinks.,40.0,Female,general
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා ග්ලූකෝස් අඩු සහ අඩු ග්ලයිසෙමික ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Include low-carb vegetables, whole grains, and healthy fats in your meals.",55.0,Male,diabetes
What are the benefits of daily exercise?,English,information_request,"Daily exercise boosts cardiovascular health, improves mental health, and helps with weight management.",Fatigue,general,Engage in at least 30 minutes of moderate physical activity daily.,50.0,Female,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට මෘදු ව්‍යායාම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට යෝගා සහ හුස්ම වැඩි ක්‍රම භාවිතා කරන්න.,Fatigue,stress,Practice deep breathing exercises for 10 minutes daily to reduce stress.,40.0,Male,general
What are good snacks for diabetes patients?,English,food_advice_for_diabetes,"Raw nuts, Greek yogurt, boiled eggs, and vegetable sticks are excellent snack options for managing diabetes.",Frequent urination,diabetes,"Avoid high-carb snacks and opt for low-carb, high-protein alternatives.",35.0,Female,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Headache,hypertension,Monitor your blood pressure regularly and reduce processed food intake.,50.0,Male,hypertension
How can I manage hypertension with yoga?,English,recommendation_for_hypertension,"Practice yoga poses like child’s pose, corpse pose, and forward bends to manage hypertension.",Headache,hypertension,Include daily breathing exercises to promote relaxation and reduce stress.,45.0,Female,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Avoid sugary drinks and prioritize a low-carb, high-fiber diet.",40.0,Male,diabetes
What are the signs of poor hydration?,English,diagnosis_inquiry,"Signs include dark urine, dry mouth, fatigue, and dizziness.",Dizziness,dehydration,Stay hydrated by drinking plenty of water and avoid caffeinated beverages.,30.0,Female,general
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Maintain a consistent sleep schedule and include light yoga in your routine.,35.0,Male,general
How can I improve my sleep naturally?,English,recommendation,"Create a consistent bedtime routine, avoid screens before bed, and practice relaxation techniques.",Fatigue,stress,Avoid caffeine in the evening and focus on mindfulness techniques.,50.0,Female,general
මට අධි පීඩනය සඳහා මෘදු ව්‍යායාම මොනවාද?,Sinhala,recommendation_for_hypertension,අධි පීඩනය සඳහා මෘදු යෝගා සහ සෙරීස් ව්‍යායාම වඩාත් ගැලපේ.,Headache,hypertension,Engage in daily light aerobic activities like brisk walking to improve heart health.,55.0,Male,hypertension
How does stress impact blood pressure?,English,information_request,Stress can cause temporary spikes in blood pressure and contribute to long-term hypertension risks.,Headache,hypertension,Include stress-relieving activities like meditation and yoga in your schedule.,40.0,Female,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු ආහාර සහ ශාක ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,"Balance meals with protein, fiber, and healthy fats to support blood sugar levels.",45.0,Male,diabetes
What foods are best for heart health?,English,food_advice,"Include salmon, walnuts, avocados, and leafy greens to support heart health.",Chest discomfort,heart_disease,Avoid fried foods and prioritize foods rich in omega-3 fatty acids.,60.0,Male,general
How can I prevent prediabetes?,English,recommendation,"Maintain a healthy weight, exercise regularly, and eat a low-glycemic diet to prevent prediabetes.",Fatigue,prediabetes,Avoid sugary beverages and processed foods; focus on whole grains and vegetables.,40.0,Male,general
මට අධි රුධිර පීඩනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය සඳහා, අඩු ලවණ ආහාර සහ නිතර aerobic ව්‍යායාම ක්‍රම භාවිතා කරන්න.",Headache,hypertension,Avoid processed foods and monitor blood pressure regularly.,50.0,Female,hypertension
What foods are good for managing stress?,English,food_advice,"Foods like bananas, nuts, green tea, and dark chocolate help reduce stress levels.",Fatigue,stress,Avoid caffeine in excess and include magnesium-rich foods in your diet.,35.0,Female,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,Include high-fiber vegetables and lean proteins to stabilize blood sugar.,45.0,Male,diabetes
What are the risks of high blood sugar?,English,information_request_for_diabetes,"High blood sugar can damage nerves, kidneys, eyes, and blood vessels over time.",Fatigue,diabetes,Monitor blood sugar regularly and consult a healthcare provider for management.,60.0,Female,diabetes
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Maintain a proper sleep schedule and engage in mindfulness practices.,35.0,Male,general
How can I manage cholesterol naturally?,English,recommendation,"Include high-fiber foods, avoid trans fats, and exercise regularly to manage cholesterol naturally.",,high_cholesterol,Add heart-healthy fats like avocado and olive oil to your meals.,50.0,Male,general
මට අධි පීඩනය සඳහා මෘදු ව්‍යායාම ක්‍රම මොනවාද?,Sinhala,recommendation_for_hypertension,මෘදු aerobic ව්‍යායාම සහ යෝගා අධි පීඩනය පාලනයට ගැලපේ.,Headache,hypertension,Engage in light aerobic exercises daily to improve blood pressure.,55.0,Male,hypertension
What are healthy snacks for diabetes?,English,food_advice_for_diabetes,"Healthy snacks for diabetes include boiled eggs, almonds, and non-starchy vegetables with hummus.",Frequent urination,diabetes,"Avoid sugary snacks and focus on high-protein, low-carb options.",40.0,Female,diabetes
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා අඩු ග්ලයිසෙමික ආහාර සහ ශාක ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,"Include whole grains, vegetables, and lean proteins in your meals.",50.0,Male,diabetes
How does stress impact blood sugar levels?,English,information_request_for_diabetes,"Stress hormones can cause an increase in blood sugar levels, making diabetes management harder.",Fatigue,stress,Practice relaxation techniques and maintain a consistent routine.,60.0,Female,diabetes
මට හෘද සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ ආහාර සහ omega-3 අඩංගු ආහාර භාවිතා කරන්න.,Chest discomfort,heart_disease,Avoid fried foods and focus on whole grains and leafy greens.,55.0,Male,general
What are the signs of poorly managed hypertension?,English,diagnosis_inquiry_for_hypertension,"Severe headaches, blurred vision, and chest pain are signs of poorly managed hypertension.",Headache,hypertension,Monitor blood pressure and consult a healthcare provider for medication review.,45.0,Female,hypertension
මට අධි රුධිර පීඩනය පාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ මෘදු ව්‍යායාම ක්‍රම භාවිතා කරන්න.,Headache,hypertension,Include potassium-rich foods like bananas and avoid salty snacks.,50.0,Male,hypertension
How can I manage both diabetes and hypertension?,English,recommendation_for_both,"Reduce salt and sugar intake, exercise regularly, and monitor blood pressure and sugar levels frequently.",Frequent urination,diabetes_+_hypertension,Consult a doctor for personalized dietary and medication guidance.,60.0,Female,both
How can I reduce my risk of developing diabetes?,English,recommendation_for_diabetes,"Maintain a healthy diet, exercise regularly, and avoid sugary and high-carb foods.",Frequent urination,diabetes,Monitor your blood sugar levels and maintain a healthy weight.,40.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ නිතර ව්‍යායාම කළ යුතුය.,Headache,hypertension,"Avoid salty snacks, include potassium-rich foods, and engage in regular exercise.",55.0,Female,hypertension
What are the early signs of hypertension?,English,diagnosis_inquiry_for_hypertension,"Early signs include headaches, dizziness, and shortness of breath.",Dizziness,hypertension,Regularly monitor your blood pressure and consult a healthcare provider.,50.0,Male,hypertension
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ අඩු ලවණ ආහාර භාවිතා කරන්න.,Frequent urination,diabetes,"Balance your meals with lean proteins, whole grains, and high-fiber vegetables.",45.0,Male,diabetes
How does exercise benefit diabetes management?,English,recommendation_for_diabetes,"Exercise helps improve insulin sensitivity, control weight, and lower blood sugar levels effectively.",Frequent urination,diabetes,"Include at least 30 minutes of aerobic exercise daily, like brisk walking.",35.0,Female,diabetes
මට හෘද සෞඛ්‍යය සඳහා උපකාර අවශ්‍යයි.,Sinhala,help_request,"හෘද සෞඛ්‍යය සඳහා අඩු ලවණ ආහාර, පෝෂ්‍යශාක ආහාර සහ මාලු වැනි ආහාර භාවිතා කරන්න.",Chest discomfort,heart_disease,Include omega-3-rich foods and avoid trans fats and sugary drinks.,60.0,Male,general
What are healthy snacks for high blood pressure?,English,food_advice_for_hypertension,"Healthy snacks include unsalted nuts, low-fat yogurt, fresh fruits, and raw vegetables.",Headache,hypertension,"Avoid processed and salty foods, and choose fresh, natural options.",50.0,Female,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ මෘදු ව්‍යායාම වඩාත් ප්‍රයෝජනවත් වේ.,Fatigue,stress,Practice mindfulness and maintain a regular sleep routine to manage stress.,30.0,Male,general
How can I manage both diabetes and high blood pressure?,English,recommendation_for_both,"Reduce salt and sugar intake, engage in regular physical activity, and monitor your levels daily.",Frequent urination,diabetes_+_hypertension,Consult a healthcare provider for personalized medication and dietary advice.,60.0,Female,both
මට අධි පීඩනය පාලනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_hypertension,අධි පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර සහ නිතර ව්‍යායාම කළ යුතුය.,Headache,hypertension,"Include potassium-rich vegetables and fruits in your meals, and avoid processed foods.",55.0,Male,hypertension
What foods help reduce blood sugar spikes?,English,food_advice_for_diabetes,"Foods like leafy greens, whole grains, nuts, and fatty fish can help stabilize blood sugar levels.",Frequent urination,diabetes,"Avoid sugary and processed foods, and include high-fiber options in your diet.",40.0,Female,diabetes
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,"හෘද සෞඛ්‍යය සඳහා ඔට්ස්, පලා වර්ග, සහ මාලු වැනි ආහාර භාවිතා කරන්න.",Chest discomfort,heart_disease,Focus on omega-3-rich foods and avoid trans fats and fried items.,50.0,Male,general
How does stress affect physical health?,English,information_request,"Chronic stress can cause headaches, fatigue, high blood pressure, and an increased risk of heart disease.",Fatigue,stress,"Engage in relaxation techniques, like yoga or deep breathing, to reduce stress.",35.0,Male,general
මට දියවැඩියාව පාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,recommendation_for_diabetes,දියවැඩියාව පාලනය සඳහා අඩු ග්ලූකෝස් සහ නිතර ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,Monitor your blood sugar regularly and avoid sugary snacks.,50.0,Female,diabetes
What are the complications of untreated hypertension?,English,information_request_for_hypertension,"Complications include heart attack, stroke, kidney failure, and vision loss.",Blurred vision,hypertension,Regularly monitor your blood pressure and follow a heart-healthy lifestyle.,60.0,Male,hypertension
මට අධි පීඩනය සඳහා මෘදු ව්‍යායාම ක්‍රම මොනවාද?,Sinhala,recommendation_for_hypertension,අධි පීඩනය සඳහා යෝගා සහ සෙරීස් වැනි මෘදු ව්‍යායාම භාවිතා කරන්න.,Headache,hypertension,Engage in light aerobic exercises daily to maintain healthy blood pressure levels.,55.0,Male,hypertension
How can I manage diabetes effectively?,English,recommendation_for_diabetes,"Maintain a balanced diet, exercise regularly, and monitor your blood sugar levels daily.",Frequent urination,diabetes,Avoid sugary foods and include more vegetables and whole grains in your meals.,45.0,Male,diabetes
මට අධි රුධිර පීඩනය සඳහා උපදෙස් අවශ්‍යයි.,Sinhala,help_request_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා අඩු ලවණ ආහාර, යෝගා, සහ මෘදු ව්‍යායාම ක්‍රියාකාරකම් භාවිතා කරන්න.",Headache,hypertension,Avoid salty snacks and include potassium-rich foods like bananas and avocados.,50.0,Female,hypertension
What are the symptoms of high blood sugar?,English,diagnosis_inquiry_for_diabetes,"Symptoms include fatigue, excessive thirst, frequent urination, and blurry vision.",Fatigue,hyperglycemia,Monitor blood sugar levels and consult a doctor if symptoms persist.,60.0,Male,diabetes
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ශාක ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,Include fiber-rich foods like whole grains and avoid sugary drinks.,40.0,Female,diabetes
How can I control high blood pressure naturally?,English,recommendation_for_hypertension,"Reduce salt intake, exercise daily, and practice relaxation techniques like deep breathing.",Headache,hypertension,"Eat potassium-rich foods like spinach and bananas, and avoid processed foods.",55.0,Male,hypertension
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට උපකාර අවශ්‍යයි.,Sinhala,help_request,මනෝවිද්‍යා ආතතිය අඩු කිරීමට ධ්‍යානය සහ සෙරීස් ව්‍යායාම භාවිතා කරන්න.,Fatigue,stress,Maintain a consistent sleep routine and practice mindfulness daily.,35.0,Male,general
What foods help lower cholesterol levels?,English,food_advice,"Foods like oats, nuts, fatty fish, and avocado are excellent for lowering cholesterol.",,high_cholesterol,Avoid trans fats and include more fiber-rich foods in your diet.,50.0,Female,general
මට ආහාර වේලක් හෘද සෞඛ්‍යය සඳහා සකසන්න.,Sinhala,food_advice,හෘද සෞඛ්‍යය සඳහා අඩු ලවණ සහ ග්ලූකෝස් අඩු ආහාර වේලක් භාවිතා කරන්න.,Chest discomfort,heart_disease,Include foods rich in omega-3 fatty acids like salmon and walnuts in your meals.,60.0,Male,general
How can I prevent complications from diabetes?,English,recommendation_for_diabetes,"Monitor blood sugar levels regularly, take prescribed medications, and maintain a healthy lifestyle.",Frequent urination,diabetes,Engage in regular physical activity and consult a doctor for personalized care.,45.0,Male,diabetes
මට දියවැඩියාව සඳහා ආහාර වේලක් සකසන්න.,Sinhala,food_advice_for_diabetes,දියවැඩියාව සඳහා ග්ලූකෝස් අඩු ආහාර සහ පෝෂණදායී ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,"Avoid sugary snacks and focus on vegetables, lean proteins, and whole grains.",50.0,Male,diabetes
What are the effects of dehydration?,English,information_request,"Dehydration can cause fatigue, dry mouth, dark-colored urine, and dizziness.",Fatigue,dehydration,Drink plenty of water and avoid caffeinated or sugary beverages.,35.0,Female,general
මට අධි පීඩනය සඳහා මෘදු ව්‍යායාම ක්‍රම මොනවාද?,Sinhala,recommendation_for_hypertension,අධි පීඩනය සඳහා යෝගා සහ සෙරීස් ව්‍යායාම වඩාත් ගැලපේ.,Headache,hypertension,Engage in low-impact aerobic activities like walking for 30 minutes daily.,55.0,Female,hypertension
How can I manage both diabetes and hypertension?,English,recommendation_for_both,"Eat a low-sodium and low-sugar diet, exercise daily, and monitor both blood sugar and pressure levels.",Frequent urination,both,Consult a healthcare professional for a personalized management plan.,60.0,Male,both
මට මනෝවිද්‍යා ආතතිය අඩු කිරීමට යෝගා ව්‍යායාම මොනවාද?,Sinhala,recommendation,මනෝවිද්‍යා ආතතිය අඩු කිරීමට යෝගා සහ ධ්‍යානය භාවිතා කරන්න.,Fatigue,stress,Practice yoga daily for relaxation and improved focus.,40.0,Female,general
What are the symptoms of anemia?,English,diagnosis_inquiry,"Symptoms include fatigue, pale skin, shortness of breath, and dizziness.",Fatigue,anemia,"Include iron-rich foods like spinach, red meat, and fortified cereals in your diet.",35.0,Male,general
මට ආහාර පෝෂණ මනාලනය සඳහා උපදෙස් ලබාදෙන්න.,Sinhala,help_request_for_diabetes,ආහාර පෝෂණ මනාලනය සඳහා ග්ලූකෝස් අඩු සහ ප්‍රෝටීන් අඩංගු ආහාර වේලක් භාවිතා කරන්න.,Frequent urination,diabetes,"Balance meals with vegetables, whole grains, and lean proteins for stable sugar levels.",50.0,Female,diabetes
How can I lower blood sugar quickly?,English,recommendation_for_diabetes,"Drink water, go for a short walk, and avoid high-carb foods to stabilize blood sugar levels.",Frequent urination,diabetes,Monitor your blood sugar and eat fiber-rich foods to prevent further spikes.,45.0,Male,diabetes
මට අධි රුධිර පීඩනය පාලනය කරන්න උපදෙස් දෙන්න.,Sinhala,recommendation_for_hypertension,"අධි රුධිර පීඩනය පාලනය සඳහා, අඩු ලවණ ආහාර සහ නිතර ව්‍යායාම කරන්න.",Headache,hypertension,"Include potassium-rich foods like avocados and bananas, and avoid stress.",60.0,Female,hypertension
What are the best foods for heart health?,English,food_advice,"Foods rich in omega-3 fatty acids like salmon, walnuts, flaxseeds, and leafy greens improve heart health.",Chest discomfort,heart_disease,"Avoid fried foods and focus on whole, nutrient-dense meals for heart health.",55.0,Male,general
